name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Toledo,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-toledo-60461835-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Cuenca,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-cuenca-60473983-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Albacete,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-albacete-60469993-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Ciudad Real,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-ciudad_real-60446961-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 2.5i,11990.0,Gasolina,2004,220000,192,Castellón,https://www.coches.net/bmw-z4-25i-2p-gasolina-2004-en-castellon-60659686-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.5i,11999.0,Gasolina,2003,179334,192,Valencia,https://www.coches.net/bmw-z4-2.5i-2p-gasolina-2003-en-valencia-60363795-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.0i,11999.0,Gasolina,2007,125000,150,Madrid,https://www.coches.net/bmw-z4-2.0i-2p-gasolina-2007-en-madrid-58374993-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.5i,12000.0,Gasolina,2003,240000,192,Valencia,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-valencia-60702519-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4,12000.0,Gasolina,2009,135000,204,Barcelona,https://www.coches.net/bmw-z4-gasolina-2009-en-barcelona-59757801-covo.aspx,BMW,Z4,No data,No data
BMW Z4 2.0i,12500.0,Gasolina,2006,128100,150,Huelva,https://www.coches.net/bmw-z4-20i-2p-gasolina-2006-en-huelva-60833100-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,12500.0,Gasolina,2004,146650,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-madrid-60791429-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,12500.0,Gasolina,2007,160000,150,Madrid,https://www.coches.net/bmw-z4-20i-2p-gasolina-2007-en-madrid-60731456-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,12500.0,Gasolina,2004,150000,170,Zaragoza,https://www.coches.net/bmw-z4-2.2i-2p-gasolina-2004-en-zaragoza-60478120-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 3.0i,12500.0,Gasolina,2003,204758,231,Baleares,https://www.coches.net/bmw-z4-30i-2p-gasolina-2003-en-baleares-60262621-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 2.0i,12900.0,Gasolina,2008,128000,150,Vizcaya,https://www.coches.net/bmw-z4-2.0i-2p-gasolina-2008-en-vizcaya-59665243-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,12900.0,Gasolina,2007,184000,150,A Coruña,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-a-coruna-60483530-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.5i,12990.0,Gasolina,2003,135008,192,Barcelona,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-barcelona-60421214-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.2i,13000.0,Gasolina,2005,167000,170,Baleares,https://www.coches.net/bmw-z4-22i-2p-gasolina-2005-en-baleares-60688597-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,13000.0,Gasolina,2008,107000,150,Valencia,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-valencia-60487625-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,13490.0,Gasolina,2007,150000,150,Barcelona,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-barcelona-60583310-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,13500.0,Gasolina,2004,75000,170,Baleares,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-baleares-60275641-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.5i,13500.0,Gasolina,2004,139000,192,Badajoz,https://www.coches.net/bmw-z4-25i-2p-gasolina-2004-en-badajoz-59520752-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 3.0i,13900.0,Gasolina,2004,233000,231,Madrid,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-madrid-60675183-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 2.5i,13900.0,Gasolina,2007,144000,177,Madrid,https://www.coches.net/bmw-z4-25i-2p-gasolina-2007-en-madrid-60429164-covo.aspx,BMW,Z4,2.5,2.5
